,SchoolYear,NameHospital,Sex,EpiUnderweight,EpiHealthyWeight,EpiOverweight,EpiObese,EpiOverweightAndObese,ValidCounts,UnvalidCounts,TotalCounts,year,%ValidCounts,%UnValidCounts
354,2017-01-01,Lothian,Female,41,3410,490,397,887,4338,887,5225,2017,83.02392344497608,16.976076555023923
355,2017-01-01,Lothian,Male,58,3360,544,509,1053,4471,1053,5524,2017,80.9377262853005,19.062273714699494
356,2017-01-01,Orkney,Female,0,60,11,7,18,78,18,96,2017,81.25,18.75
357,2017-01-01,Orkney,Male,0,78,18,9,27,105,27,132,2017,79.54545454545455,20.454545454545457
358,2017-01-01,Shetland,Female,0,96,17,11,28,124,28,152,2017,81.57894736842105,18.421052631578945
359,2017-01-01,Shetland,Male,0,108,22,19,41,149,41,190,2017,78.42105263157895,21.578947368421055
360,2017-01-01,Western Isles,Female,0,94,17,19,36,130,36,166,2017,78.3132530120482,21.686746987951807
361,2017-01-01,Western Isles,Male,1,96,15,16,31,128,31,159,2017,80.50314465408806,19.49685534591195
362,2017-01-01,Fife,Female,10,1321,214,157,371,1702,371,2073,2017,82.10323203087313,17.89676796912687
363,2017-01-01,Fife,Male,20,1440,231,216,447,1907,447,2354,2017,81.01104502973662,18.98895497026338
364,2017-01-01,Tayside,Female,11,1456,276,211,487,1954,487,2441,2017,80.04916018025399,19.950839819746005
365,2017-01-01,Tayside,Male,28,1501,280,267,547,2076,547,2623,2017,79.14601601219977,20.853983987800227
366,2017-01-01,Greater Glasgow and Clyde,Female,40,4386,665,500,1165,5591,1165,6756,2017,82.75606867969213,17.243931320307873
367,2017-01-01,Greater Glasgow and Clyde,Male,87,4418,672,589,1261,5766,1261,7027,2017,82.05493098050377,17.94506901949623
368,2017-01-01,Lanarkshire,Female,32,2469,365,297,662,3163,662,3825,2017,82.69281045751634,17.307189542483663
369,2017-01-01,Lanarkshire,Male,78,2502,390,365,755,3335,755,4090,2017,81.54034229828851,18.45965770171149
370,2018-01-01,Ayrshire and Arran,Female,13,969,166,116,282,1264,282,1546,2018,81.75937904269081,18.240620957309183
371,2018-01-01,Ayrshire and Arran,Male,25,982,166,150,316,1323,316,1639,2018,80.71995118974985,19.280048810250154
372,2018-01-01,Borders,Female,3,360,65,45,110,473,110,583,2018,81.13207547169812,18.867924528301888
373,2018-01-01,Borders,Male,1,382,66,43,109,492,109,601,2018,81.86356073211314,18.136439267886857
374,2018-01-01,Dumfries and Galloway,Female,1,358,62,54,116,475,116,591,2018,80.37225042301185,19.627749576988155
375,2018-01-01,Dumfries and Galloway,Male,6,377,74,67,141,524,141,665,2018,78.796992481203,21.203007518796994
376,2018-01-01,Forth Valley,Female,8,1101,179,140,319,1428,319,1747,2018,81.740125930166,18.259874069834
377,2018-01-01,Forth Valley,Male,20,1180,172,164,336,1536,336,1872,2018,82.05128205128204,17.94871794871795
378,2018-01-01,Grampian,Female,14,1870,315,194,509,2393,509,2902,2018,82.46037215713301,17.539627842866988
379,2018-01-01,Grampian,Male,22,1956,295,231,526,2504,526,3030,2018,82.64026402640265,17.35973597359736
380,2018-01-01,Highland,Female,8,953,162,146,308,1269,308,1577,2018,80.46924540266328,19.530754597336717
381,2018-01-01,Highland,Male,9,949,219,178,397,1355,397,1752,2018,77.34018264840182,22.659817351598175
382,2018-01-01,Lothian,Female,31,3425,464,397,861,4317,861,5178,2018,83.37195828505214,16.628041714947855
383,2018-01-01,Lothian,Male,62,3431,538,450,988,4481,988,5469,2018,81.9345401353081,18.0654598646919
384,2018-01-01,Orkney,Female,0,66,11,11,22,88,22,110,2018,80.0,20.0
385,2018-01-01,Orkney,Male,0,66,25,21,46,112,46,158,2018,70.88607594936708,29.11392405063291
386,2018-01-01,Shetland,Female,1,90,8,9,17,108,17,125,2018,86.4,13.600000000000001
387,2018-01-01,Shetland,Male,0,91,13,15,28,119,28,147,2018,80.95238095238095,19.047619047619047
388,2018-01-01,Western Isles,Female,0,77,14,7,21,98,21,119,2018,82.35294117647058,17.647058823529413
389,2018-01-01,Western Isles,Male,2,70,21,15,36,108,36,144,2018,75.0,25.0
390,2018-01-01,Fife,Female,9,1053,146,115,261,1323,261,1584,2018,83.52272727272727,16.477272727272727
391,2018-01-01,Fife,Male,18,1036,155,150,305,1359,305,1664,2018,81.67067307692307,18.329326923076923
392,2018-01-01,Tayside,Female,4,1039,161,132,293,1336,293,1629,2018,82.01350521792511,17.986494782074892
393,2018-01-01,Tayside,Male,18,1058,175,145,320,1396,320,1716,2018,81.35198135198135,18.64801864801865
394,2018-01-01,Greater Glasgow and Clyde,Female,20,3347,527,395,922,4289,922,5211,2018,82.30665899059682,17.693341009403184
395,2018-01-01,Greater Glasgow and Clyde,Male,51,3269,487,502,989,4309,989,5298,2018,81.33257833144583,18.66742166855417
396,2018-01-01,Lanarkshire,Female,39,2457,389,332,721,3217,721,3938,2018,81.69121381411884,18.308786185881157
397,2018-01-01,Lanarkshire,Male,58,2506,415,405,820,3384,820,4204,2018,80.49476688867745,19.50523311132255
398,2019-01-01,Ayrshire and Arran,Female,9,725,121,90,211,945,211,1156,2019,81.74740484429066,18.252595155709344
399,2019-01-01,Ayrshire and Arran,Male,13,750,115,113,228,991,228,1219,2019,81.29614438063987,18.703855619360134
400,2019-01-01,Dumfries and Galloway,Female,3,447,62,72,134,584,134,718,2019,81.33704735376045,18.662952646239557
401,2019-01-01,Dumfries and Galloway,Male,8,456,82,75,157,621,157,778,2019,79.82005141388174,20.17994858611825
402,2019-01-01,Forth Valley,Female,7,695,104,74,178,880,178,1058,2019,83.1758034026465,16.824196597353495
403,2019-01-01,Forth Valley,Male,17,670,110,85,195,882,195,1077,2019,81.89415041782729,18.105849582172702
404,2019-01-01,Highland,Female,7,813,157,107,264,1084,264,1348,2019,80.41543026706232,19.584569732937684
405,2019-01-01,Highland,Male,13,765,165,110,275,1053,275,1328,2019,79.29216867469879,20.707831325301203
406,2019-01-01,Lothian,Female,30,3080,449,381,830,3940,830,4770,2019,82.59958071278825,17.40041928721174
407,2019-01-01,Lothian,Male,50,3172,462,404,866,4088,866,4954,2019,82.51917642309246,17.48082357690755
408,2019-01-01,Orkney,Female,0,46,7,7,14,60,14,74,2019,81.08108108108108,18.91891891891892
409,2019-01-01,Orkney,Male,1,66,10,8,18,85,18,103,2019,82.52427184466019,17.475728155339805
410,2019-01-01,Shetland,Female,0,81,16,7,23,104,23,127,2019,81.88976377952756,18.11023622047244
411,2019-01-01,Shetland,Male,0,59,13,8,21,80,21,101,2019,79.20792079207921,20.792079207920793
412,2019-01-01,Western Isles,Female,0,94,27,16,43,137,43,180,2019,76.11111111111111,23.88888888888889
413,2019-01-01,Western Isles,Male,0,89,26,16,42,131,42,173,2019,75.72254335260115,24.277456647398843
414,2019-01-01,Fife,Female,7,968,150,147,297,1272,297,1569,2019,81.07074569789675,18.929254302103253
415,2019-01-01,Fife,Male,21,1060,171,157,328,1409,328,1737,2019,81.11686816350029,18.88313183649971
416,2019-01-01,Lanarkshire,Female,13,1106,165,167,332,1451,332,1783,2019,81.37969713965228,18.620302860347728
417,2019-01-01,Lanarkshire,Male,15,1121,192,150,342,1478,342,1820,2019,81.20879120879121,18.791208791208792
418,2020-01-01,Ayrshire and Arran,Female,14,1011,216,267,483,1508,483,1991,2020,75.74083375188347,24.25916624811652
419,2020-01-01,Ayrshire and Arran,Male,26,1045,217,307,524,1595,524,2119,2020,75.2713544124587,24.728645587541294
420,2020-01-01,Highland,Female,7,1100,231,231,462,1569,462,2031,2020,77.25258493353027,22.74741506646972
421,2020-01-01,Highland,Male,4,1087,263,279,542,1633,542,2175,2020,75.08045977011494,24.919540229885058
422,2020-01-01,Lothian,Female,17,2373,455,448,903,3293,903,4196,2020,78.4795042897998,21.52049571020019
423,2020-01-01,Lothian,Male,31,2485,456,531,987,3503,987,4490,2020,78.01781737193764,21.98218262806236
424,2020-01-01,Orkney,Female,0,69,8,12,20,89,20,109,2020,81.65137614678899,18.34862385321101
425,2020-01-01,Orkney,Male,2,67,11,16,27,96,27,123,2020,78.04878048780488,21.951219512195124
426,2020-01-01,Shetland,Female,0,71,15,17,32,103,32,135,2020,76.29629629629629,23.703703703703706
427,2020-01-01,Shetland,Male,3,87,16,17,33,123,33,156,2020,78.84615384615384,21.153846153846153
428,2020-01-01,Western Isles,Female,1,56,11,9,20,77,20,97,2020,79.38144329896907,20.618556701030926
429,2020-01-01,Western Isles,Male,3,64,13,18,31,98,31,129,2020,75.96899224806202,24.031007751937985
430,2020-01-01,Greater Glasgow and Clyde,Female,14,2565,483,533,1016,3595,1016,4611,2020,77.96573411407503,22.03426588592496
431,2020-01-01,Greater Glasgow and Clyde,Male,34,2601,534,564,1098,3733,1098,4831,2020,77.27178637963155,22.728213620368454
432,2021-01-01,Ayrshire and Arran,Female,19,1149,228,200,428,1596,428,2024,2021,78.85375494071147,21.14624505928854
433,2021-01-01,Ayrshire and Arran,Male,24,1204,241,231,472,1700,472,2172,2021,78.26887661141805,21.731123388581953
434,2021-01-01,Borders,Female,1,437,65,64,129,567,129,696,2021,81.46551724137932,18.53448275862069
435,2021-01-01,Borders,Male,11,405,69,61,130,546,130,676,2021,80.76923076923077,19.230769230769234
436,2021-01-01,Dumfries and Galloway,Female,6,833,164,182,346,1185,346,1531,2021,77.40039190071847,22.599608099281514
437,2021-01-01,Dumfries and Galloway,Male,11,859,151,175,326,1196,326,1522,2021,78.580814717477,21.419185282522996
438,2021-01-01,Forth Valley,Female,4,1055,157,125,282,1341,282,1623,2021,82.62476894639556,17.375231053604438
439,2021-01-01,Forth Valley,Male,17,1097,162,167,329,1443,329,1772,2021,81.43340857787811,18.5665914221219
440,2021-01-01,Grampian,Female,16,2070,329,260,589,2675,589,3264,2021,81.9546568627451,18.045343137254903
441,2021-01-01,Grampian,Male,40,2052,352,316,668,2760,668,3428,2021,80.51341890315052,19.486581096849477
442,2021-01-01,Highland,Female,8,1034,184,162,346,1388,346,1734,2021,80.04613610149943,19.953863898500575
443,2021-01-01,Highland,Male,15,1052,211,202,413,1480,413,1893,2021,78.18277865821447,21.817221341785526
444,2021-01-01,Lothian,Female,35,3212,470,451,921,4168,921,5089,2021,81.90214187463157,18.09785812536844
445,2021-01-01,Lothian,Male,51,3177,532,504,1036,4264,1036,5300,2021,80.45283018867924,19.547169811320757
446,2021-01-01,Orkney,Female,0,61,13,10,23,84,23,107,2021,78.50467289719626,21.49532710280374
447,2021-01-01,Orkney,Male,0,70,13,10,23,93,23,116,2021,80.17241379310344,19.82758620689655
448,2021-01-01,Shetland,Female,0,97,18,13,31,128,31,159,2021,80.50314465408806,19.49685534591195
449,2021-01-01,Shetland,Male,2,98,13,19,32,132,32,164,2021,80.48780487804879,19.51219512195122
450,2021-01-01,Western Isles,Female,0,78,17,11,28,106,28,134,2021,79.1044776119403,20.8955223880597
451,2021-01-01,Western Isles,Male,2,93,13,15,28,123,28,151,2021,81.45695364238411,18.543046357615893
452,2021-01-01,Fife,Female,13,1205,183,159,342,1560,342,1902,2021,82.01892744479495,17.981072555205046
453,2021-01-01,Fife,Male,37,1255,190,142,332,1624,332,1956,2021,83.02658486707567,16.973415132924334
454,2021-01-01,Tayside,Female,12,1145,251,192,443,1600,443,2043,2021,78.31620166421929,21.683798335780715
455,2021-01-01,Tayside,Male,22,1219,216,220,436,1677,436,2113,2021,79.36583057264552,20.634169427354472
456,2021-01-01,Greater Glasgow and Clyde,Female,61,4410,688,656,1344,5815,1344,7159,2021,81.22642827210504,18.773571727894957
457,2021-01-01,Greater Glasgow and Clyde,Male,107,4610,696,737,1433,6150,1433,7583,2021,81.1024660424634,18.897533957536595
458,2021-01-01,Lanarkshire,Female,41,3471,630,564,1194,4706,1194,5900,2021,79.76271186440678,20.23728813559322
459,2021-01-01,Lanarkshire,Male,65,3693,591,655,1246,5004,1246,6250,2021,80.06400000000001,19.936
460,2022-01-01,Ayrshire and Arran,Female,10,1221,180,163,343,1574,343,1917,2022,82.1074595722483,17.892540427751698
461,2022-01-01,Ayrshire and Arran,Male,17,1266,222,150,372,1655,372,2027,2022,81.64775530340404,18.352244696595953
462,2022-01-01,Borders,Female,4,362,64,45,109,475,109,584,2022,81.33561643835617,18.664383561643834
463,2022-01-01,Borders,Male,8,361,52,46,98,467,98,565,2022,82.65486725663716,17.345132743362832
464,2022-01-01,Dumfries and Galloway,Female,3,460,88,75,163,626,163,789,2022,79.34093789607097,20.659062103929024
465,2022-01-01,Dumfries and Galloway,Male,8,465,89,76,165,638,165,803,2022,79.45205479452055,20.54794520547945
466,2022-01-01,Forth Valley,Female,10,1022,182,128,310,1342,310,1652,2022,81.23486682808718,18.765133171912833
467,2022-01-01,Forth Valley,Male,21,1089,141,162,303,1413,303,1716,2022,82.34265734265735,17.657342657342657
468,2022-01-01,Grampian,Female,16,2097,279,262,541,2654,541,3195,2022,83.06729264475743,16.932707355242567
469,2022-01-01,Grampian,Male,47,2173,306,275,581,2801,581,3382,2022,82.82081608515671,17.17918391484329
470,2022-01-01,Highland,Female,12,1037,161,156,317,1366,317,1683,2022,81.16458704693999,18.83541295306001
471,2022-01-01,Highland,Male,21,1069,195,164,359,1449,359,1808,2022,80.14380530973452,19.856194690265486
472,2022-01-01,Lothian,Female,39,3008,424,343,767,3814,767,4581,2022,83.25693080113513,16.743069198864877
473,2022-01-01,Lothian,Male,109,3108,430,390,820,4037,820,4857,2022,83.11715050442659,16.8828494955734
474,2022-01-01,Orkney,Female,0,63,18,7,25,88,25,113,2022,77.87610619469027,22.123893805309734
475,2022-01-01,Orkney,Male,0,58,11,9,20,78,20,98,2022,79.59183673469387,20.408163265306122
476,2022-01-01,Shetland,Female,0,86,10,8,18,104,18,122,2022,85.24590163934425,14.754098360655737
477,2022-01-01,Shetland,Male,3,77,8,12,20,100,20,120,2022,83.33333333333334,16.666666666666664
478,2022-01-01,Western Isles,Female,0,61,10,12,22,83,22,105,2022,79.04761904761905,20.952380952380953
479,2022-01-01,Western Isles,Male,0,66,15,16,31,97,31,128,2022,75.78125,24.21875
480,2022-01-01,Fife,Female,7,1157,171,161,332,1496,332,1828,2022,81.83807439824945,18.161925601750546
481,2022-01-01,Fife,Male,26,1175,164,163,327,1528,327,1855,2022,82.37196765498652,17.628032345013477
482,2022-01-01,Tayside,Female,15,1282,209,181,390,1687,390,2077,2022,81.22291766971593,18.777082330284063
483,2022-01-01,Tayside,Male,19,1345,206,162,368,1732,368,2100,2022,82.47619047619048,17.523809523809526
484,2022-01-01,Greater Glasgow and Clyde,Female,64,4418,651,607,1258,5740,1258,6998,2022,82.0234352672192,17.976564732780794
485,2022-01-01,Greater Glasgow and Clyde,Male,125,4564,610,695,1305,5994,1305,7299,2022,82.12083847102343,17.879161528976574
486,2022-01-01,Lanarkshire,Female,14,2584,401,406,807,3405,807,4212,2022,80.84045584045583,19.159544159544158
487,2022-01-01,Lanarkshire,Male,43,2660,410,390,800,3503,800,4303,2022,81.40831977689984,18.591680223100163
488,2023-01-01,Ayrshire and Arran,Female,10,1133,183,167,350,1493,350,1843,2023,81.00922409115573,18.990775908844277
489,2023-01-01,Ayrshire and Arran,Male,20,1197,196,182,378,1595,378,1973,2023,80.84135833755703,19.158641662442978
490,2023-01-01,Borders,Female,0,266,32,30,62,328,62,390,2023,84.1025641025641,15.897435897435896
491,2023-01-01,Borders,Male,5,282,45,42,87,374,87,461,2023,81.12798264642083,18.872017353579178
492,2023-01-01,Dumfries and Galloway,Female,7,419,66,58,124,550,124,674,2023,81.60237388724035,18.397626112759642
493,2023-01-01,Dumfries and Galloway,Male,8,410,60,68,128,546,128,674,2023,81.00890207715133,18.991097922848667
494,2023-01-01,Forth Valley,Female,20,1032,132,116,248,1300,248,1548,2023,83.97932816537468,16.020671834625322
495,2023-01-01,Forth Valley,Male,54,1068,145,132,277,1399,277,1676,2023,83.47255369928402,16.52744630071599
496,2023-01-01,Grampian,Female,12,1971,323,218,541,2524,541,3065,2023,82.34910277324633,17.65089722675367
497,2023-01-01,Grampian,Male,22,2079,292,268,560,2661,560,3221,2023,82.61409500155231,17.38590499844769
498,2023-01-01,Highland,Female,4,944,153,137,290,1238,290,1528,2023,81.02094240837697,18.979057591623036
499,2023-01-01,Highland,Male,18,998,175,143,318,1334,318,1652,2023,80.75060532687651,19.249394673123486
500,2023-01-01,Lothian,Female,53,3064,426,311,737,3854,737,4591,2023,83.94685253757352,16.053147462426487
501,2023-01-01,Lothian,Male,101,3153,420,353,773,4027,773,4800,2023,83.89583333333334,16.104166666666668
502,2023-01-01,Orkney,Female,1,65,24,8,32,98,32,130,2023,75.38461538461539,24.615384615384617
503,2023-01-01,Orkney,Male,0,64,17,11,28,92,28,120,2023,76.66666666666667,23.333333333333332
504,2023-01-01,Shetland,Female,1,66,19,15,34,101,34,135,2023,74.81481481481481,25.185185185185183
505,2023-01-01,Shetland,Male,3,88,8,13,21,112,21,133,2023,84.21052631578947,15.789473684210526
506,2023-01-01,Western Isles,Female,1,59,10,5,15,75,15,90,2023,83.33333333333334,16.666666666666664
507,2023-01-01,Western Isles,Male,1,66,15,11,26,93,26,119,2023,78.15126050420169,21.84873949579832
508,2023-01-01,Fife,Female,13,1130,208,174,382,1525,382,1907,2023,79.96853696906136,20.03146303093865
509,2023-01-01,Fife,Male,20,1158,189,170,359,1537,359,1896,2023,81.06540084388185,18.934599156118143
510,2023-01-01,Tayside,Female,10,1190,204,215,419,1619,419,2038,2023,79.44062806673209,20.559371933267908
511,2023-01-01,Tayside,Male,15,1201,216,178,394,1610,394,2004,2023,80.33932135728543,19.660678642714572
512,2023-01-01,Greater Glasgow and Clyde,Female,34,4097,595,561,1156,5287,1156,6443,2023,82.05804749340369,17.941952506596305
513,2023-01-01,Greater Glasgow and Clyde,Male,89,4152,615,641,1256,5497,1256,6753,2023,81.40085887753591,18.59914112246409
514,2023-01-01,Lanarkshire,Female,14,2255,381,330,711,2980,711,3691,2023,80.73692766188026,19.26307233811975
515,2023-01-01,Lanarkshire,Male,31,2280,348,381,729,3040,729,3769,2023,80.65799946935527,19.342000530644736
